countryIsoCode,country,indexCode,index,dimension,indicatorCode,indicator,year,value,note
AFG,Afghanistan,GII,Gender Inequality Index,,abr,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",2010,120.82,
AFG,Afghanistan,GII,Gender Inequality Index,,abr,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",2019,86.803,
AFG,Afghanistan,PHDI,Planetary pressures–adjusted Human Development Index,,co2_prod,Carbon dioxide emissions per capita (production) (tonnes),2010,0.297,
AFG,Afghanistan,PHDI,Planetary pressures–adjusted Human Development Index,,co2_prod,Carbon dioxide emissions per capita (production) (tonnes),2019,0.293,
AFG,Afghanistan,IHDI,Inequality-adjusted Human Development Index,,coef_ineq,Coefficient of human inequality,2010,35.768,
AFG,Afghanistan,IHDI,Inequality-adjusted Human Development Index,,coef_ineq,Coefficient of human inequality,2019,33.871,
AFG,Afghanistan,PHDI,Planetary pressures–adjusted Human Development Index,,diff_hdi_phdi,Difference from HDI value (%),2010,0.891,
AFG,Afghanistan,PHDI,Planetary pressures–adjusted Human Development Index,,diff_hdi_phdi,Difference from HDI value (%),2019,0.813,
AFG,Afghanistan,HDI,Human Development Index,,eys,Expected Years of Schooling (years),2010,9.181,
AFG,Afghanistan,HDI,Human Development Index,,eys,Expected Years of Schooling (years),2019,10.621,
AFG,Afghanistan,GDI,Gender Development Index,,eys_f,"Expected Years of Schooling, female (years)",2010,6.959,
AFG,Afghanistan,GDI,Gender Development Index,,eys_f,"Expected Years of Schooling, female (years)",2019,8.02,
AFG,Afghanistan,GDI,Gender Development Index,,eys_m,"Expected Years of Schooling, male (years)",2010,11.298,
AFG,Afghanistan,GDI,Gender Development Index,,eys_m,"Expected Years of Schooling, male (years)",2019,13.096,
AFG,Afghanistan,GDI,Gender Development Index,,gdi,Gender Development Index (value),2010,0.684,
AFG,Afghanistan,GDI,Gender Development Index,,gdi,Gender Development Index (value),2019,0.7,
AFG,Afghanistan,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.707,
AFG,Afghanistan,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.676,
AFG,Afghanistan,GDI,Gender Development Index,,gni_pc_f,"Gross National Income Per Capita, female (2017 PPP$)",2010,944.204,
AFG,Afghanistan,GDI,Gender Development Index,,gni_pc_f,"Gross National Income Per Capita, female (2017 PPP$)",2019,739.779,
AFG,Afghanistan,GDI,Gender Development Index,,gni_pc_m,"Gross National Income Per Capita, male (2017 PPP$)",2010,3047.654,
AFG,Afghanistan,GDI,Gender Development Index,,gni_pc_m,"Gross National Income Per Capita, male (2017 PPP$)",2019,3456.607,
AFG,Afghanistan,HDI,Human Development Index,,gnipc,Gross National Income Per Capita (2017 PPP$),2010,2006.789,
AFG,Afghanistan,HDI,Human Development Index,,gnipc,Gross National Income Per Capita (2017 PPP$),2019,2112.986,
AFG,Afghanistan,HDI,Human Development Index,,hdi,Human Development Index (value),2010,0.449,
AFG,Afghanistan,HDI,Human Development Index,,hdi,Human Development Index (value),2019,0.492,
AFG,Afghanistan,GDI,Gender Development Index,,hdi_f,HDI female,2010,0.353,
AFG,Afghanistan,GDI,Gender Development Index,,hdi_f,HDI female,2019,0.387,
AFG,Afghanistan,GDI,Gender Development Index,,hdi_m,HDI male,2010,0.517,
AFG,Afghanistan,GDI,Gender Development Index,,hdi_m,HDI male,2019,0.553,
AFG,Afghanistan,IHDI,Inequality-adjusted Human Development Index,,ihdi,Inequality-adjusted Human Development Index (value),2010,0.287,
AFG,Afghanistan,IHDI,Inequality-adjusted Human Development Index,,ihdi,Inequality-adjusted Human Development Index (value),2019,0.323,
AFG,Afghanistan,IHDI,Inequality-adjusted Human Development Index,,ineq_edu,Inequality in eduation,2010,44.823,
AFG,Afghanistan,IHDI,Inequality-adjusted Human Development Index,,ineq_edu,Inequality in eduation,2019,45.365,
AFG,Afghanistan,IHDI,Inequality-adjusted Human Development Index,,ineq_inc,Inequality in income,2010,28.638,
AFG,Afghanistan,IHDI,Inequality-adjusted Human Development Index,,ineq_inc,Inequality in income,2019,29.225,
AFG,Afghanistan,IHDI,Inequality-adjusted Human Development Index,,ineq_le,Inequality in life expectancy,2010,33.842,
AFG,Afghanistan,IHDI,Inequality-adjusted Human Development Index,,ineq_le,Inequality in life expectancy,2019,27.021,
AFG,Afghanistan,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2010,60.851,
AFG,Afghanistan,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2019,63.565,
AFG,Afghanistan,GDI,Gender Development Index,,le_f,"Life Expectancy at Birth, female (years)",2010,62.408,
AFG,Afghanistan,GDI,Gender Development Index,,le_f,"Life Expectancy at Birth, female (years)",2019,66.677,
AFG,Afghanistan,GDI,Gender Development Index,,le_m,"Life Expectancy at Birth, male (years)",2010,59.278,
AFG,Afghanistan,GDI,Gender Development Index,,le_m,"Life Expectancy at Birth, male (years)",2019,60.619,
AFG,Afghanistan,GII,Gender Inequality Index,,lfpr_f,"Labour force participation rate, female (% ages 15 and older)",2010,29.9,
AFG,Afghanistan,GII,Gender Inequality Index,,lfpr_f,"Labour force participation rate, female (% ages 15 and older)",2019,18.06,
AFG,Afghanistan,GII,Gender Inequality Index,,lfpr_m,"Labour force participation rate, male (% ages 15 and older)",2010,79.55,
AFG,Afghanistan,GII,Gender Inequality Index,,lfpr_m,"Labour force participation rate, male (% ages 15 and older)",2019,68.95,
AFG,Afghanistan,IHDI,Inequality-adjusted Human Development Index,,loss,Overall loss (%),2010,36.08,
AFG,Afghanistan,IHDI,Inequality-adjusted Human Development Index,,loss,Overall loss (%),2019,34.35,
AFG,Afghanistan,PHDI,Planetary pressures–adjusted Human Development Index,,mf,Material footprint per capita (tonnes),2010,1.851,
AFG,Afghanistan,PHDI,Planetary pressures–adjusted Human Development Index,,mf,Material footprint per capita (tonnes),2019,1.506,
AFG,Afghanistan,GII,Gender Inequality Index,,mmr,"Maternal Mortality Ratio (deaths per 100,000 live births)",2010,898.669,
AFG,Afghanistan,GII,Gender Inequality Index,,mmr,"Maternal Mortality Ratio (deaths per 100,000 live births)",2019,644.273,
AFG,Afghanistan,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2010,1.89,
AFG,Afghanistan,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2019,2.698,
AFG,Afghanistan,GDI,Gender Development Index,,mys_f,"Mean Years of Schooling, female (years)",2010,0.557,
AFG,Afghanistan,GDI,Gender Development Index,,mys_f,"Mean Years of Schooling, female (years)",2019,1.79,
AFG,Afghanistan,GDI,Gender Development Index,,mys_m,"Mean Years of Schooling, male (years)",2010,3.066,
AFG,Afghanistan,GDI,Gender Development Index,,mys_m,"Mean Years of Schooling, male (years)",2019,3.413,
AFG,Afghanistan,PHDI,Planetary pressures–adjusted Human Development Index,,phdi,Planetary pressures–adjusted Human Development Index (value),2010,0.445,
AFG,Afghanistan,PHDI,Planetary pressures–adjusted Human Development Index,,phdi,Planetary pressures–adjusted Human Development Index (value),2019,0.488,
AFG,Afghanistan,GII,Gender Inequality Index,,pr_f,"Share of seats in parliament, female (% held by women)",2010,27.635,
AFG,Afghanistan,GII,Gender Inequality Index,,pr_f,"Share of seats in parliament, female (% held by women)",2019,27.244,
AFG,Afghanistan,GII,Gender Inequality Index,,pr_m,"Share of seats in parliament, male (% held by men)",2010,72.365,
AFG,Afghanistan,GII,Gender Inequality Index,,pr_m,"Share of seats in parliament, male (% held by men)",2019,72.756,
AFG,Afghanistan,GII,Gender Inequality Index,,se_f,"Population with at least some secondary education, female (% ages 25 and older)",2010,2.827,
AFG,Afghanistan,GII,Gender Inequality Index,,se_f,"Population with at least some secondary education, female (% ages 25 and older)",2019,5.789,
AFG,Afghanistan,GII,Gender Inequality Index,,se_m,"Population with at least some secondary education, male (% ages 25 and older)",2010,17.271,
AFG,Afghanistan,GII,Gender Inequality Index,,se_m,"Population with at least some secondary education, male (% ages 25 and older)",2019,17.025,
AGO,Angola,GII,Gender Inequality Index,,abr,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",2010,164.955,
AGO,Angola,GII,Gender Inequality Index,,abr,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",2019,141.278,
AGO,Angola,PHDI,Planetary pressures–adjusted Human Development Index,,co2_prod,Carbon dioxide emissions per capita (production) (tonnes),2010,0.984,
AGO,Angola,PHDI,Planetary pressures–adjusted Human Development Index,,co2_prod,Carbon dioxide emissions per capita (production) (tonnes),2019,0.594,
AGO,Angola,IHDI,Inequality-adjusted Human Development Index,,coef_ineq,Coefficient of human inequality,2019,40.658,
AGO,Angola,PHDI,Planetary pressures–adjusted Human Development Index,,diff_hdi_phdi,Difference from HDI value (%),2010,2.907,
